source_type,source_path,feature,scenario,tags,status,notes
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/LoginAPITest.java,LoginAPITest,testLoginWithOTP,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/LoginAPITest.java,LoginAPITest,testLoginWithOTP_NewlyRegisteredUser,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/LoginAPITest.java,LoginAPITest,testLoginWithOTP_NonMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_01_MemberLogin,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_02_NonMemberLogin,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_03_NewUserRegistrationAndLogin,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_04_InvalidOtpRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_06_PhlebotomistLogin,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_07_MissingMobileRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_08_EmptyOtpRejected,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_09_ValidTokenAllowsAccess,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/Section1_AuthenticationTest.java,Section1_AuthenticationTest,AUTH_10_InvalidTokenBlocksAccess,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/auth/UserCreateAPITest.java,UserCreateAPITest,testUserRegistration_CreateNewUser,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/AddToCartAPITest.java,AddToCartAPITest,testAddToCart_ForMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/AddToCartAPITest.java,AddToCartAPITest,testAddToCart_ForNewUser,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/AddToCartAPITest.java,AddToCartAPITest,testAddToCart_ForNonMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/AddToCartAPITest.java,AddToCartAPITest,testAddToCart_WithRewardsUsed,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/COD_02_GetCartTest.java,COD_02_GetCartTest,step02_VerifyCartAndPrice,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/GetCartByIdAPITest.java,GetCartByIdAPITest,testGetCartById_ForMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/GetCartByIdAPITest.java,GetCartByIdAPITest,testGetCartById_ForNewUser,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/GetCartByIdAPITest.java,GetCartByIdAPITest,testGetCartById_ForNonMember,,Implemented,@Test method
JavaTest,src/test/java/com/mryoda/diagnostics/api/tests/cart/Section5_CartOperationsTest.java,Section5_CartOperationsTest,CRT_01_AddToCart_HomeCollection,,Implemented,@Test method
